FIPS
48489
29011
29217
20021
20037
29013
20011
48355
20133
20099
48215
29057
20001
20017
20049
29097
20073
20197
20207
20019
31067
20205
20035
29083
48145
31151
20003
20117
20127
20149
31095
20031
31133
31159
20111
20107
31097
48261
31059
20131
20201
28133
48047
48273
48409
28119
40053
20161
40035
20191
31169
20061
40071
31023
48061
31185
31131
40105
31143
29133
29143
31155
29155
5147
31109
28011
29185
5077
20015
31035
5035
20125
20139
28143
5107
5037
31127
29039
20027
29101
29109
48481
20157
29159
20085
31081
28083
20115
5067
28027
31147
5111
20013
28053
31025
5123
19159
5093
40113
20185
29037
31129
20059
5085
31037
20077
20079
