source_FIPS_0,source_facility_0,destination_FIPS_0,destination_facility_0,flow_kg_0,source_0,destination_0,emission_0,source_FIPS_1,source_facility_1,destination_FIPS_1,destination_facility_1,flow_kg_1,source_1,destination_1,emission_1,emission_total
46039,0,46029,0,29353440.43201518,46039,46029,717036161.2280092,46029,402075,46039,0,1780323.622708402,402075,46039,336493.4453642374,717372654.6733735
46039,0,46029,0,9084538.530183082,46039,46029,221914110.86196896,46029,402075,46025,0,550988.8554341181,402075,46025,104271.05836136879,222018381.92033035
46039,0,46029,0,6431796.56992154,46039,46029,157113805.21058074,46029,402075,46057,0,390096.67014695745,402075,46057,73527.90842586073,157187333.1190066
46039,0,46029,0,1205075.771734014,46039,46029,29437193.481776703,46029,402075,46037,0,73089.3834588348,402075,46037,13888.510279114133,29451081.99205582
46039,0,46029,0,20053090.946632676,46039,46029,489850291.53335613,46029,402075,46029,0,1216245.5574261006,402075,46029,228349.54150130283,490078641.0748574
46039,0,46029,0,34453961.99857042,46039,46029,841630019.7507923,46029,402075,46011,0,2089676.7649440889,402075,46011,398240.6050287544,842028260.355821
8087,0,8123,0,95098.76052120322,8087,8123,1063474.7375912266,8123,201702,8013,0,10033.331405295581,201702,8013,1903.9652813944758,1065378.7028726211
8087,0,8123,0,95098.76052120322,8087,8123,1063474.7375912266,8123,301742,8013,0,10033.331405295581,301742,8013,1903.9652813944758,1065378.7028726211
8087,0,8123,0,95098.76052120322,8087,8123,1063474.7375912266,8123,301772,8013,0,10033.331405295581,301772,8013,1903.9652813944758,1065378.7028726211
8087,0,8123,0,95098.76052120322,8087,8123,1063474.7375912266,8123,305105,8013,0,10033.331405295581,305105,8013,1903.9652813944758,1065378.7028726211
8087,0,8123,0,95098.76052120322,8087,8123,1063474.7375912266,8123,401069,8013,0,10033.331405295581,401069,8013,1903.9652813944758,1065378.7028726211
8087,0,8123,0,95098.76052120322,8087,8123,1063474.7375912266,8123,501332,8013,0,10033.331405295581,501332,8013,1903.9652813944758,1065378.7028726211
8087,0,8123,0,95098.76052120322,8087,8123,1063474.7375912266,8123,507241,8013,0,10033.331405295581,507241,8013,1903.9652813944758,1065378.7028726211
8087,0,8123,0,95098.76052120322,8087,8123,1063474.7375912266,8123,540230,8013,0,10033.331405295581,540230,8013,1903.9652813944758,1065378.7028726211
8087,0,8123,0,275739.78847201815,8087,8123,3083555.427868679,8123,201702,8105,0,29091.7427756487,201702,8105,5968.361232238597,3089523.789100918
8087,0,8123,0,275739.78847201815,8087,8123,3083555.427868679,8123,301742,8105,0,29091.7427756487,301742,8105,5968.361232238597,3089523.789100918
8087,0,8123,0,275739.78847201815,8087,8123,3083555.427868679,8123,301772,8105,0,29091.7427756487,301772,8105,5968.361232238597,3089523.789100918
8087,0,8123,0,275739.78847201815,8087,8123,3083555.427868679,8123,305105,8105,0,29091.7427756487,305105,8105,5968.361232238597,3089523.789100918
8087,0,8123,0,275739.78847201815,8087,8123,3083555.427868679,8123,401069,8105,0,29091.7427756487,401069,8105,5968.361232238597,3089523.789100918
8087,0,8123,0,275739.78847201815,8087,8123,3083555.427868679,8123,501332,8105,0,29091.7427756487,501332,8105,5968.361232238597,3089523.789100918
8087,0,8123,0,275739.78847201815,8087,8123,3083555.427868679,8123,507241,8105,0,29091.7427756487,507241,8105,5968.361232238597,3089523.789100918
8087,0,8123,0,275739.78847201815,8087,8123,3083555.427868679,8123,540230,8105,0,29091.7427756487,540230,8105,5968.361232238597,3089523.789100918
31159,0,31081,0,370446.8146352846,31159,31081,4882937.153813652,31081,412147,6071,0,126543.84938593295,412147,6071,35314.63988170738,4918251.7936953595
31159,0,31081,0,370446.8146352846,31159,31081,4882937.153813652,31081,413147,6071,0,126543.84938593295,413147,6071,35314.63988170738,4918251.7936953595
31159,0,31081,0,791925.0513561192,31159,31081,10438530.184446776,31081,412147,20123,0,270519.9247627996,412147,20123,52657.108593926234,10491187.293040702
31159,0,31081,0,791925.0513561192,31159,31081,10438530.184446776,31081,413147,20123,0,270519.9247627996,413147,20123,52657.108593926234,10491187.293040702
31159,0,31081,0,416619.326833523,31159,31081,5491546.72039789,31081,412147,20105,0,142316.28202281898,412147,20105,27943.554060217222,5519490.274458107
31159,0,31081,0,416619.326833523,31159,31081,5491546.72039789,31081,413147,20105,0,142316.28202281898,413147,20105,27943.554060217222,5519490.274458107
31159,0,31081,0,1807401.6117404918,31159,31081,23823739.692617435,31081,412147,31035,0,617404.5728025984,412147,31035,116568.51346906993,23940308.206086505
31159,0,31081,0,1807401.6117404918,31159,31081,23823739.692617435,31081,413147,31035,0,617404.5728025984,413147,31035,116568.51346906993,23940308.206086505
31159,0,31081,0,2701676.026107261,31159,31081,35611358.295616,31081,412147,6107,0,922886.8237776429,412147,6107,267207.90547253087,35878566.20108853
31159,0,31081,0,2701676.026107261,31159,31081,35611358.295616,31081,413147,6107,0,922886.8237776429,413147,6107,267207.90547253087,35878566.20108853
31159,0,31081,0,101663.86451022195,31159,31081,1340052.7190549006,31081,412147,20089,0,34728.161372474795,412147,20089,6689.694685045453,1346742.413739946
